Name,Average.coverage,Reference.length
1,6901.336,9012
2,1654.141,9243
3,17.927,32916
4,511.348,5748
5,63.035,32626
6,0.962,626
7,348.901,46240
8,2.012,745
9,47.398,45535
10,2.069,1161
11,11.097,3848
12,3.563,650
13,135.338,9316
14,16.502,30693
15,4.215,2367
16,11.446,3005
17,3.152,551
18,2.323,511
19,3.625,759
20,4.405,785
21,2.857,774
22,2.322,1000
23,9.426,7138
24,8.798,12340
25,1.887,300
26,2.687,316
27,9.058,2876
28,3.101,661
29,5.245,1425
30,0,100
31,3.087,1167
32,2.178,828
33,9.020,1818
34,1.852,567
35,2.452,491
36,1.554,1349
37,2.449,876
38,2.081,577
39,2.122,812
40,3.348,1443
41,6.720,4135
42,11.234,3027
43,17.781,3855
44,2.204,1017
45,9.597,1929
46,2.135,563
47,2.382,589
48,2.037,1609
49,1.998,538
50,1.209,1041
51,6.712,1583
52,2.037,534
53,1.873,597
54,4.496,685
55,2.187,825
56,3.166,1122
57,3.307,719
58,8.278,7467
59,4.014,508
60,1.818,661
61,1.733,521
62,3.381,607
63,1.525,788
64,2.806,1069
65,1.727,863
66,2.835,1324
67,1.777,846
68,2.974,653
69,1.884,577
70,1.694,794
71,3.765,460
72,2.218,875
73,2.187,1099
74,1.677,538
75,1.558,579
76,0.467,644
77,2.209,555
78,2.202,544
79,2.000,300
80,1.292,463
81,2.297,499
82,1.905,947
83,3.725,828
84,2.321,554
85,1.976,457
86,1.875,481
87,2.090,576
88,3.465,2309
89,1.859,647
90,2.920,860
91,1.536,979
92,2.873,731
93,3.030,595
94,3.740,1119
95,1.692,399
96,2.628,559
97,0.732,820
98,2.065,581
99,1.733,495
100,0.488,607
101,2.123,522
102,1.915,386
103,0.765,391
104,0,100
105,2.909,1592
106,1.942,446
107,0.472,633
108,1.576,762
109,1.836,652
110,1.312,532
111,0.781,770
112,1.268,473
113,2.262,531
114,2.109,567
115,2.943,314
116,2.341,513
117,2.937,524
118,2.246,668
119,2.673,1125
120,2.382,631
121,3.912,615
122,2.866,827
123,2.379,591
124,2.371,380
125,1.099,821
126,2.480,404
127,2.085,656
128,1.940,299
129,2.806,749
130,2.942,919
131,2.063,301
132,2.435,846
133,0.819,735
134,1.783,943
135,4.275,454
136,1.699,690
137,2.687,559
138,2.175,513
139,2.080,362
140,2.508,480
141,2.271,524
142,3.261,368
143,1.976,1362
144,1.703,529
145,2.001,806
146,1.735,694
147,2.199,693
148,2.141,683
149,2.730,441
150,1.187,760
151,3.556,507
152,5.170,876
153,0.659,566
154,1.595,348
155,3.052,687
156,2.753,437
157,1.972,761
158,1.969,611
159,2.522,477
160,1.805,667
161,2.037,590
162,1.000,299
163,1.421,1081
164,2.899,533
165,2.414,747
166,2.878,1674
167,2.790,1150
168,2.002,600
169,2.798,430
170,1.994,328
171,2.052,649
172,2.204,460
173,1.531,569
174,0,100
175,1.875,961
176,3.545,697
177,1.446,1455
178,3.343,633
179,4.024,374
180,2.151,344
181,2.543,748
182,2.059,731
183,2.923,779
184,3.906,1607
185,3.905,1386
186,1.664,655
187,2.749,904
188,2.043,442
189,1.000,297
190,1.769,511
191,2.401,359
192,5.632,704
193,2.274,661
194,2.708,555
195,5.708,534
196,0.988,332
197,1.902,947
198,2.409,749
199,1.786,336
200,1.712,1075
201,1.887,1119
202,2.343,385
203,2.607,923
204,1.813,663
205,2.834,451
206,1.107,544
207,1.804,994
208,2.243,670
209,2.605,435
210,2.432,986
211,1.389,432
212,2.789,323
213,2.906,721
214,6.949,802
215,3.338,690
216,4.452,681
217,2.534,711
218,2.829,660
219,2.172,1258
220,1.409,298
221,2.238,629
222,2.021,709
223,1.161,1035
224,2.698,1100
225,1.775,846
226,2.003,600
227,2.742,469
228,1.706,703
229,0.467,643
230,2.082,1154
231,2.729,661
232,2.901,392
233,2.860,606
234,2.690,670
235,2.936,1325
236,2.184,781
237,2.635,798
238,2.303,521
239,3.385,441
240,1.107,815
241,2.421,423
242,0,100
243,3.513,1196
244,1.598,665
245,2.286,511
246,0.459,427
247,1.835,491
248,2.960,657
249,2.812,1079
250,2.791,431
251,2.827,543
252,2.957,541
253,1.571,574
254,3.263,598
255,1.745,690
256,2.676,450
257,1.727,521
258,2.435,494
259,2.396,627
260,0.980,307
261,2.180,550
262,2.077,556
263,1.158,596
264,2.368,508
265,0.855,704
266,2.760,530
