contig	gc
0 	42.65
1 	40.58
2 	38.04
3 	41.22
4 	43.27
5 	35.31
6 	39.99
7 	39.36
8 	39.32
9 	41.29
10 	43.70
11 	40.59
12 	43.58
13 	39.78
14 	40.37
15 	41.64
16 	42.82
17 	36.46
18 	38.99
19 	40.42
20 	36.31
21 	36.49
22 	41.31
23 	43.19
24 	41.15
25 	42.53
26 	36.36
27 	38.56
28 	39.26
29 	36.90
30 	38.67
31 	39.33
32 	38.95
33 	38.73
34 	42.50
35 	39.21
36 	37.59
37 	36.30
38 	38.57
39 	35.97
40 	38.77
41 	36.30
42 	39.21
43 	41.41
44 	42.86
45 	42.10
46 	43.65
47 	37.65
48 	41.84
49 	41.06
50 	44.64
51 	43.44
52 	38.65
53 	39.65
54 	41.57
55 	37.87
56 	38.63
57 	40.16
58 	43.28
59 	39.73
60 	38.60
61 	39.66
62 	39.50
63 	41.87
64 	39.69
65 	41.48
66 	40.23
67 	39.50
68 	39.28
69 	39.47
70 	40.11
71 	45.41
72 	41.04
73 	42.21
74 	40.28
75 	41.79
76 	39.31
77 	37.36
78 	39.01
79 	40.95
80 	41.00
81 	43.24
82 	40.23
83 	41.33
84 	40.35
85 	38.30
86 	41.89
87 	39.62
88 	37.98
89 	41.47
90 	42.48
91 	40.73
92 	44.49
93 	41.47
94 	38.67
95 	40.40
96 	44.52
97 	37.00
98 	42.17
99 	39.87
100 	41.16
101 	41.16
102 	39.83
103 	43.17
104 	41.96
105 	39.14
106 	39.76
107 	38.63
108 	42.61
109 	41.24
110 	38.98
111 	41.65
112 	42.83
113 	41.29
114 	41.19
115 	40.36
116 	40.56
117 	42.41
118 	41.91
119 	40.70
120 	43.47
121 	36.26
122 	42.70
123 	46.90
124 	39.72
125 	39.78
126 	41.32
127 	41.93
128 	41.86
129 	37.80
130 	39.11
131 	39.90
132 	43.14
133 	39.99
134 	44.18
135 	39.87
136 	39.13
137 	38.93
138 	41.74
139 	40.90
140 	40.55
141 	38.59
142 	40.60
143 	41.09
144 	38.98
145 	44.03
146 	40.58
147 	37.24
148 	39.89
149 	40.87
150 	38.94
151 	37.65
152 	39.31
153 	39.11
154 	38.12
155 	39.11
156 	39.92
157 	41.64
158 	42.53
159 	39.24
160 	35.86
161 	37.91
162 	40.80
163 	41.35
164 	42.96
165 	41.26
166 	39.23
167 	39.14
168 	38.34
169 	41.95
170 	45.11
171 	42.18
172 	40.88
173 	40.04
174 	43.90
175 	41.78
176 	40.32
177 	39.09
178 	40.09
179 	40.77
180 	39.22
181 	43.46
182 	39.07
183 	43.32
184 	39.46
185 	39.09
186 	41.22
187 	40.19
188 	38.44
189 	41.53
190 	43.12
191 	39.48
192 	41.97
193 	45.49
194 	42.72
195 	39.49
196 	41.29
197 	39.24
198 	37.13
199 	41.31
200 	39.97
201 	41.52
202 	38.62
203 	39.78
204 	38.26
205 	43.13
206 	39.99
207 	38.53
208 	38.66
209 	39.64
210 	41.14
211 	43.38
212 	39.75
213 	40.49
214 	38.75
215 	39.81
216 	39.28
217 	40.78
218 	38.48
219 	39.85
220 	38.47
221 	37.60
222 	40.28
223 	41.92
224 	43.39
225 	42.63
226 	37.43
227 	40.97
228 	38.60
229 	39.00
230 	38.69
231 	40.58
232 	42.55
233 	40.26
234 	37.28
235 	43.63
236 	46.66
237 	42.51
238 	39.59
239 	39.73
240 	47.53
241 	41.11
242 	39.53
243 	38.94
244 	40.18
245 	41.16
246 	40.05
247 	39.99
248 	38.94
249 	41.66
250 	38.37
251 	41.59
252 	41.65
253 	38.68
254 	37.52
255 	40.72
256 	38.10
257 	35.86
258 	39.73
259 	44.87
260 	42.50
261 	44.74
262 	37.14
263 	39.25
264 	35.84
265 	40.22
266 	42.37
267 	40.09
268 	44.04
269 	42.57
270 	39.20
271 	40.32
272 	37.98
273 	39.13
274 	45.61
275 	42.76
276 	41.01
277 	39.73
278 	40.31
279 	45.95
280 	42.75
281 	42.08
282 	40.37
283 	42.98
284 	39.75
285 	41.51
286 	41.18
287 	40.19
288 	41.24
289 	41.25
290 	39.32
291 	41.12
292 	38.46
293 	39.42
294 	39.51
295 	39.29
296 	37.80
297 	51.55
298 	38.47
