contig	gc
1	49.99
2	51.12
3	55.74
4	55.74
5	42.02
6	58.07
7	60.44
8	38.26
9	42.07
10	49.00
11	53.72
12	52.21
13	57.03
14	54.99
15	45.63
16	56.73
17	36.84
18	36.99
19	38.34
20	48.28
21	41.22
22	42.80
23	58.81
24	58.16
25	65.47
26	48.10
27	57.74
28	45.84
29	55.62
30	60.10
31	45.47
32	48.31
33	58.18
34	30.51
35	38.29
36	40.61
37	55.48
38	68.98
39	46.27
40	53.58
41	55.49
42	53.35
43	34.85
44	43.07
45	56.45
46	63.06
47	63.33
48	54.49
49	63.75
50	41.69
51	54.20
52	44.38
53	33.67
54	61.17
55	41.82
56	54.49
57	35.74
58	57.90
59	45.87
60	45.69
61	43.76
62	43.33
63	62.06
64	48.50
65	46.38
66	57.38
67	44.52
68	46.25
69	63.43
70	43.88
71	56.62
72	46.06
73	54.23
74	58.55
75	34.70
76	58.10
77	32.97
78	43.01
79	41.67
80	48.52
81	65.33
82	41.94
83	60.70
84	44.95
85	45.95
86	44.70
87	47.57
88	46.90
89	48.69
90	47.09
91	36.95
92	63.20
93	39.66
94	59.25
95	46.87
96	39.53
97	54.20
98	40.96
99	39.19
100	55.40
101	42.21
102	41.97
103	64.08
104	60.11
105	55.75
106	37.33
107	52.19
108	45.93
109	44.63
110	63.33
111	55.70
112	61.60
113	64.41
114	59.19
115	61.46
116	49.51
117	40.84
118	46.41
119	43.11
120	64.03
121	42.60
122	40.39
123	38.58
124	43.42
125	53.86
126	57.92
127	62.20
128	52.41
129	63.82
130	41.76
131	44.11
132	41.02
133	57.29
134	46.67
135	50.55
136	55.51
137	46.69
138	39.38
139	42.54
140	47.08
141	55.61
142	47.28
143	46.25
144	66.10
145	53.60
146	39.54
147	50.51
148	63.84
149	47.62
150	54.61
151	41.42
152	63.81
153	45.87
154	49.71
155	51.24
156	48.51
157	63.07
158	45.99
159	40.04
160	44.68
161	50.34
162	53.59
163	46.41
164	48.78
165	60.78
166	60.66
167	41.30
168	53.67
169	52.79
170	53.49
171	49.15
172	51.02
173	49.74
174	57.17
175	64.52
176	67.29
177	40.35
178	64.18
179	53.74
180	30.23
181	44.92
182	44.73
183	40.87
184	59.16
185	58.34
186	44.43
187	41.81
188	54.07
189	59.67
190	40.04
191	42.62
192	59.23
193	46.60
194	55.68
195	52.99
196	58.72
197	49.21
198	42.72
199	50.89
200	43.09
201	59.78
202	63.47
203	43.01
204	45.40
205	38.58
206	39.80
207	50.06
208	40.60
209	57.93
210	64.80
211	40.74
212	49.85
213	46.60
214	51.00
215	41.54
216	61.09
217	48.95
218	29.55
219	65.90
220	52.36
221	50.24
222	63.05
223	64.02
224	40.67
225	43.78
226	64.83
227	46.06
228	38.12
229	43.04
230	38.55
231	42.97
232	49.23
233	39.27
234	46.12
235	38.14
236	41.92
237	56.39
238	47.79
239	52.15
240	44.40
241	30.73
242	62.13
243	59.74
244	40.60
245	43.64
246	63.95
247	39.10
248	49.01
249	54.12
250	36.66
251	61.69
252	44.73
253	44.60
254	57.86
255	50.14
256	53.78
257	65.56
258	53.04
259	63.56
260	55.72
261	40.36
262	42.62
263	55.88
264	44.09
265	38.97
266	65.09
267	55.62
268	42.37
269	44.55
270	42.33
271	51.08
272	43.38
273	44.43
274	46.48
275	59.63
276	63.75
277	50.78
278	65.40
279	56.77
280	43.01
281	62.65
282	35.20
283	66.06
284	47.24
285	62.92
286	46.04
287	65.55
288	50.09
289	47.54
290	65.24
291	63.23
292	60.09
293	39.13
294	41.29
295	47.83
296	46.89
297	50.00
298	40.52
299	65.52
300	42.93
301	43.79
302	42.36
303	41.17
304	41.53
305	46.70
306	68.67
307	43.10
308	47.71
309	60.44
310	44.94
311	46.68
312	62.82
313	44.95
314	51.51
315	49.10
316	41.09
317	49.38
318	44.34
319	58.86
320	53.56
321	63.68
322	54.96
323	45.39
324	60.73
325	52.50
326	66.14
327	49.80
328	38.45
329	47.34
330	46.42
331	46.65
332	45.18
333	47.81
334	40.19
335	42.71
336	60.07
337	47.06
338	50.00
339	41.29
340	59.00
341	40.72
342	62.48
343	44.68
344	43.21
345	55.26
346	41.30
347	60.05
348	43.94
349	44.74
350	58.40
351	42.24
352	46.29
353	42.75
354	52.75
355	53.24
356	56.64
357	40.08
358	44.98
359	50.84
360	44.83
361	43.50
362	38.29
363	47.04
364	67.90
365	43.54
366	61.77
367	62.46
368	53.43
369	49.43
370	48.17
371	47.27
372	57.31
373	31.46
374	65.42
375	64.76
376	46.39
377	58.12
378	41.33
379	62.11
380	63.24
381	40.22
382	43.09
383	48.06
384	64.77
385	58.32
386	61.55
387	39.80
388	48.56
389	64.60
390	34.84
391	41.99
392	58.32
393	42.55
394	42.14
395	62.25
396	56.78
397	65.28
398	45.97
399	44.38
400	41.80
401	44.89
402	35.19
403	64.71
404	44.95
405	64.95
406	45.89
407	58.68
408	41.23
409	41.96
410	39.27
