contig	gc
1	52.83
2	50.82
3	52.53
4	48.05
5	50.71
6	52.68
7	54.06
8	55.56
9	51.41
10	52.07
11	48.30
12	51.71
13	52.33
14	55.28
15	43.17
16	54.76
17	47.15
18	55.06
19	54.07
20	52.48
21	51.69
22	49.90
23	54.38
24	51.85
25	48.77
26	47.86
27	53.96
28	55.02
29	57.66
30	53.31
31	50.16
32	50.70
33	53.73
34	49.97
35	43.68
36	64.01
37	46.80
38	51.14
39	57.70
40	51.30
41	46.35
42	46.80
43	51.28
44	41.16
45	40.90
46	55.70
47	50.09
48	54.76
49	49.25
50	51.63
51	43.98
52	46.10
53	46.70
54	51.70
55	53.55
56	53.44
57	38.46
58	59.68
59	54.70
60	51.30
61	45.55
62	54.86
63	51.05
64	41.23
65	50.52
66	36.07
67	51.24
68	43.27
69	42.23
70	52.82
71	51.36
72	51.28
73	39.71
74	45.50
75	46.73
76	53.95
77	53.79
78	52.98
79	53.21
80	37.31
81	38.67
82	45.09
83	44.91
84	51.77
85	44.68
86	50.30
87	53.95
88	56.20
89	53.55
90	49.94
91	36.48
92	46.65
93	54.12
94	43.53
95	36.50
96	55.51
97	38.25
98	52.22
99	45.01
100	34.12
101	47.21
102	53.82
103	54.23
104	42.40
105	51.72
106	53.61
107	40.29
108	54.34
109	52.09
110	55.83
111	53.16
112	42.97
113	47.21
114	53.07
115	50.89
116	50.00
117	42.24
118	42.86
119	56.19
120	38.01
121	45.76
122	42.31
123	53.76
124	41.36
125	53.66
126	50.26
127	48.09
128	39.11
129	39.56
130	47.62
131	48.30
132	51.74
133	50.48
134	45.56
135	52.81
136	33.54
137	51.19
138	49.03
139	51.49
140	53.89
141	50.14
142	64.20
143	43.37
144	55.28
145	43.15
146	66.37
147	49.00
148	45.65
149	42.83
150	57.97
151	28.20
152	54.39
153	52.91
154	31.44
155	46.24
156	41.09
157	48.33
158	44.85
159	41.88
160	54.94
161	41.98
162	56.66
163	62.92
164	50.37
165	48.78
